,x1,x2,x3,x4,x5,x6,y
0,46.825,46.755,46.725,46.875,47.045,46.595,46.605
1,46.755,46.725,46.875,47.045,46.595,46.605,46.395
2,46.725,46.875,47.045,46.595,46.605,46.395,46.505
3,46.875,47.045,46.595,46.605,46.395,46.505,46.797
4,47.045,46.595,46.605,46.395,46.505,46.797,46.46
5,46.595,46.605,46.395,46.505,46.797,46.46,46.295
6,46.605,46.395,46.505,46.797,46.46,46.295,46.22
7,46.395,46.505,46.797,46.46,46.295,46.22,46.27
8,46.505,46.797,46.46,46.295,46.22,46.27,46.16
9,46.797,46.46,46.295,46.22,46.27,46.16,46.145
10,46.46,46.295,46.22,46.27,46.16,46.145,46.085
11,46.295,46.22,46.27,46.16,46.145,46.085,45.795
12,46.22,46.27,46.16,46.145,46.085,45.795,45.665
13,46.27,46.16,46.145,46.085,45.795,45.665,45.625
14,46.16,46.145,46.085,45.795,45.665,45.625,45.595
15,46.145,46.085,45.795,45.665,45.625,45.595,45.41
16,46.085,45.795,45.665,45.625,45.595,45.41,45.065
17,45.795,45.665,45.625,45.595,45.41,45.065,44.97
18,45.665,45.625,45.595,45.41,45.065,44.97,44.965
19,45.625,45.595,45.41,45.065,44.97,44.965,44.67
20,45.595,45.41,45.065,44.97,44.965,44.67,44.555
21,45.41,45.065,44.97,44.965,44.67,44.555,44.325
22,45.065,44.97,44.965,44.67,44.555,44.325,44.535
23,44.97,44.965,44.67,44.555,44.325,44.535,44.445
24,44.965,44.67,44.555,44.325,44.535,44.445,44.175
25,44.67,44.555,44.325,44.535,44.445,44.175,44.175
26,44.555,44.325,44.535,44.445,44.175,44.175,44.345
27,44.325,44.535,44.445,44.175,44.175,44.345,44.345
28,44.535,44.445,44.175,44.175,44.345,44.345,44.475
29,44.445,44.175,44.175,44.345,44.345,44.475,44.285
30,44.175,44.175,44.345,44.345,44.475,44.285,44.105
31,44.175,44.345,44.345,44.475,44.285,44.105,44.055
32,44.345,44.345,44.475,44.285,44.105,44.055,44.215
33,44.345,44.475,44.285,44.105,44.055,44.215,44.335
34,44.475,44.285,44.105,44.055,44.215,44.335,44.195
35,44.285,44.105,44.055,44.215,44.335,44.195,44.265
36,44.105,44.055,44.215,44.335,44.195,44.265,44.42
37,44.055,44.215,44.335,44.195,44.265,44.42,44.445
38,44.215,44.335,44.195,44.265,44.42,44.445,44.305
39,44.335,44.195,44.265,44.42,44.445,44.305,44.395
40,44.195,44.265,44.42,44.445,44.305,44.395,44.42
41,44.265,44.42,44.445,44.305,44.395,44.42,44.325
42,44.42,44.445,44.305,44.395,44.42,44.325,44.275
43,44.445,44.305,44.395,44.42,44.325,44.275,44.355
44,44.305,44.395,44.42,44.325,44.275,44.355,44.315
45,44.395,44.42,44.325,44.275,44.355,44.315,44.22
46,44.42,44.325,44.275,44.355,44.315,44.22,43.975
47,44.325,44.275,44.355,44.315,44.22,43.975,43.89
48,44.275,44.355,44.315,44.22,43.975,43.89,44.39
49,44.355,44.315,44.22,43.975,43.89,44.39,44.33
50,44.315,44.22,43.975,43.89,44.39,44.33,44.325
51,44.22,43.975,43.89,44.39,44.33,44.325,44.505
52,43.975,43.89,44.39,44.33,44.325,44.505,44.72
53,43.89,44.39,44.33,44.325,44.505,44.72,45.2
54,44.39,44.33,44.325,44.505,44.72,45.2,45.335
55,44.33,44.325,44.505,44.72,45.2,45.335,45.02
56,44.325,44.505,44.72,45.2,45.335,45.02,45.265
57,44.505,44.72,45.2,45.335,45.02,45.265,45.215
58,44.72,45.2,45.335,45.02,45.265,45.215,45.43
59,45.2,45.335,45.02,45.265,45.215,45.43,45.575
60,45.335,45.02,45.265,45.215,45.43,45.575,45.705
61,45.02,45.265,45.215,45.43,45.575,45.705,45.54
62,45.265,45.215,45.43,45.575,45.705,45.54,45.775
63,45.215,45.43,45.575,45.705,45.54,45.775,45.95
64,45.43,45.575,45.705,45.54,45.775,45.95,45.905
65,45.575,45.705,45.54,45.775,45.95,45.905,45.39
66,45.705,45.54,45.775,45.95,45.905,45.39,45.125
67,45.54,45.775,45.95,45.905,45.39,45.125,44.835
68,45.775,45.95,45.905,45.39,45.125,44.835,44.78
69,45.95,45.905,45.39,45.125,44.835,44.78,44.83
70,45.905,45.39,45.125,44.835,44.78,44.83,45.077
71,45.39,45.125,44.835,44.78,44.83,45.077,45.23
72,45.125,44.835,44.78,44.83,45.077,45.23,44.933
73,44.835,44.78,44.83,45.077,45.23,44.933,45.145
74,44.78,44.83,45.077,45.23,44.933,45.145,44.953
75,44.83,45.077,45.23,44.933,45.145,44.953,45.41
76,45.077,45.23,44.933,45.145,44.953,45.41,45.465
77,45.23,44.933,45.145,44.953,45.41,45.465,45.155
78,44.933,45.145,44.953,45.41,45.465,45.155,45.49
79,45.145,44.953,45.41,45.465,45.155,45.49,45.245
80,44.953,45.41,45.465,45.155,45.49,45.245,45.1
81,45.41,45.465,45.155,45.49,45.245,45.1,45.18
82,45.465,45.155,45.49,45.245,45.1,45.18,44.99
83,45.155,45.49,45.245,45.1,45.18,44.99,45.265
84,45.49,45.245,45.1,45.18,44.99,45.265,45.1
85,45.245,45.1,45.18,44.99,45.265,45.1,45.06
86,45.1,45.18,44.99,45.265,45.1,45.06,44.963
87,45.18,44.99,45.265,45.1,45.06,44.963,44.635
88,44.99,45.265,45.1,45.06,44.963,44.635,44.61
89,45.265,45.1,45.06,44.963,44.635,44.61,45.005
90,45.1,45.06,44.963,44.635,44.61,45.005,45.347
91,45.06,44.963,44.635,44.61,45.005,45.347,45.255
92,44.963,44.635,44.61,45.005,45.347,45.255,45.29
93,44.635,44.61,45.005,45.347,45.255,45.29,45.47
94,44.61,45.005,45.347,45.255,45.29,45.47,45.1
95,45.005,45.347,45.255,45.29,45.47,45.1,45.145
96,45.347,45.255,45.29,45.47,45.1,45.145,45.095
97,45.255,45.29,45.47,45.1,45.145,45.095,45.305
98,45.29,45.47,45.1,45.145,45.095,45.305,45.53
99,45.47,45.1,45.145,45.095,45.305,45.53,45.41
100,45.1,45.145,45.095,45.305,45.53,45.41,45.465
101,45.145,45.095,45.305,45.53,45.41,45.465,45.56
102,45.095,45.305,45.53,45.41,45.465,45.56,45.56
103,45.305,45.53,45.41,45.465,45.56,45.56,45.47
104,45.53,45.41,45.465,45.56,45.56,45.47,45.735
105,45.41,45.465,45.56,45.56,45.47,45.735,45.51
106,45.465,45.56,45.56,45.47,45.735,45.51,45.59
107,45.56,45.56,45.47,45.735,45.51,45.59,45.825
108,45.56,45.47,45.735,45.51,45.59,45.825,45.92
109,45.47,45.735,45.51,45.59,45.825,45.92,45.43
110,45.735,45.51,45.59,45.825,45.92,45.43,45.635
111,45.51,45.59,45.825,45.92,45.43,45.635,45.565
112,45.59,45.825,45.92,45.43,45.635,45.565,45.515
113,45.825,45.92,45.43,45.635,45.565,45.515,45.315
114,45.92,45.43,45.635,45.565,45.515,45.315,45.31
115,45.43,45.635,45.565,45.515,45.315,45.31,45.49
116,45.635,45.565,45.515,45.315,45.31,45.49,45.74
117,45.565,45.515,45.315,45.31,45.49,45.74,45.49
118,45.515,45.315,45.31,45.49,45.74,45.49,45.415
119,45.315,45.31,45.49,45.74,45.49,45.415,45.535
120,45.31,45.49,45.74,45.49,45.415,45.535,45.535
121,45.49,45.74,45.49,45.415,45.535,45.535,45.35
122,45.74,45.49,45.415,45.535,45.535,45.35,45.075
123,45.49,45.415,45.535,45.535,45.35,45.075,45.0
124,45.415,45.535,45.535,45.35,45.075,45.0,45.28
125,45.535,45.535,45.35,45.075,45.0,45.28,45.145
126,45.535,45.35,45.075,45.0,45.28,45.145,45.495
127,45.35,45.075,45.0,45.28,45.145,45.495,45.225
128,45.075,45.0,45.28,45.145,45.495,45.225,45.285
129,45.0,45.28,45.145,45.495,45.225,45.285,44.955
130,45.28,45.145,45.495,45.225,45.285,44.955,44.965
131,45.145,45.495,45.225,45.285,44.955,44.965,44.88
132,45.495,45.225,45.285,44.955,44.965,44.88,44.875
133,45.225,45.285,44.955,44.965,44.88,44.875,45.05
134,45.285,44.955,44.965,44.88,44.875,45.05,45.1
135,44.955,44.965,44.88,44.875,45.05,45.1,45.015
136,44.965,44.88,44.875,45.05,45.1,45.015,45.085
137,44.88,44.875,45.05,45.1,45.015,45.085,45.16
138,44.875,45.05,45.1,45.015,45.085,45.16,45.035
139,45.05,45.1,45.015,45.085,45.16,45.035,45.145
140,45.1,45.015,45.085,45.16,45.035,45.145,45.09
141,45.015,45.085,45.16,45.035,45.145,45.09,45.115
142,45.085,45.16,45.035,45.145,45.09,45.115,44.945
143,45.16,45.035,45.145,45.09,45.115,44.945,44.965
144,45.035,45.145,45.09,45.115,44.945,44.965,44.86
145,45.145,45.09,45.115,44.945,44.965,44.86,44.775
146,45.09,45.115,44.945,44.965,44.86,44.775,44.635
147,45.115,44.945,44.965,44.86,44.775,44.635,44.66
148,44.945,44.965,44.86,44.775,44.635,44.66,44.75
149,44.965,44.86,44.775,44.635,44.66,44.75,44.7
150,44.86,44.775,44.635,44.66,44.75,44.7,44.635
151,44.775,44.635,44.66,44.75,44.7,44.635,44.505
152,44.635,44.66,44.75,44.7,44.635,44.505,44.415
153,44.66,44.75,44.7,44.635,44.505,44.415,44.365
154,44.75,44.7,44.635,44.505,44.415,44.365,44.295
155,44.7,44.635,44.505,44.415,44.365,44.295,44.05
156,44.635,44.505,44.415,44.365,44.295,44.05,44.17
157,44.505,44.415,44.365,44.295,44.05,44.17,44.04
158,44.415,44.365,44.295,44.05,44.17,44.04,44.275
159,44.365,44.295,44.05,44.17,44.04,44.275,44.575
160,44.295,44.05,44.17,44.04,44.275,44.575,44.425
161,44.05,44.17,44.04,44.275,44.575,44.425,44.425
162,44.17,44.04,44.275,44.575,44.425,44.425,44.235
163,44.04,44.275,44.575,44.425,44.425,44.235,44.415
164,44.275,44.575,44.425,44.425,44.235,44.415,44.355
165,44.575,44.425,44.425,44.235,44.415,44.355,44.21
166,44.425,44.425,44.235,44.415,44.355,44.21,44.31
167,44.425,44.235,44.415,44.355,44.21,44.31,44.197
168,44.235,44.415,44.355,44.21,44.31,44.197,44.39
169,44.415,44.355,44.21,44.31,44.197,44.39,44.435
170,44.355,44.21,44.31,44.197,44.39,44.435,44.32
171,44.21,44.31,44.197,44.39,44.435,44.32,44.317
172,44.31,44.197,44.39,44.435,44.32,44.317,44.22
173,44.197,44.39,44.435,44.32,44.317,44.22,44.27
174,44.39,44.435,44.32,44.317,44.22,44.27,44.43
175,44.435,44.32,44.317,44.22,44.27,44.43,44.355
176,44.32,44.317,44.22,44.27,44.43,44.355,44.73
177,44.317,44.22,44.27,44.43,44.355,44.73,44.68
178,44.22,44.27,44.43,44.355,44.73,44.68,44.645
179,44.27,44.43,44.355,44.73,44.68,44.645,44.71
180,44.43,44.355,44.73,44.68,44.645,44.71,44.575
181,44.355,44.73,44.68,44.645,44.71,44.575,44.895
182,44.73,44.68,44.645,44.71,44.575,44.895,44.825
183,44.68,44.645,44.71,44.575,44.895,44.825,45.08
184,44.645,44.71,44.575,44.895,44.825,45.08,45.045
185,44.71,44.575,44.895,44.825,45.08,45.045,45.025
186,44.575,44.895,44.825,45.08,45.045,45.025,44.93
187,44.895,44.825,45.08,45.045,45.025,44.93,44.905
188,44.825,45.08,45.045,45.025,44.93,44.905,45.165
189,45.08,45.045,45.025,44.93,44.905,45.165,45.155
190,45.045,45.025,44.93,44.905,45.165,45.155,45.245
191,45.025,44.93,44.905,45.165,45.155,45.245,45.23
192,44.93,44.905,45.165,45.155,45.245,45.23,45.105
193,44.905,45.165,45.155,45.245,45.23,45.105,45.045
194,45.165,45.155,45.245,45.23,45.105,45.045,45.005
195,45.155,45.245,45.23,45.105,45.045,45.005,44.805
196,45.245,45.23,45.105,45.045,45.005,44.805,44.77
197,45.23,45.105,45.045,45.005,44.805,44.77,44.745
198,45.105,45.045,45.005,44.805,44.77,44.745,44.685
199,45.045,45.005,44.805,44.77,44.745,44.685,44.635
200,45.005,44.805,44.77,44.745,44.685,44.635,44.655
201,44.805,44.77,44.745,44.685,44.635,44.655,44.67
202,44.77,44.745,44.685,44.635,44.655,44.67,44.69
203,44.745,44.685,44.635,44.655,44.67,44.69,44.789
204,44.685,44.635,44.655,44.67,44.69,44.789,44.66
205,44.635,44.655,44.67,44.69,44.789,44.66,44.67
206,44.655,44.67,44.69,44.789,44.66,44.67,44.85
207,44.67,44.69,44.789,44.66,44.67,44.85,44.74
208,44.69,44.789,44.66,44.67,44.85,44.74,44.91
209,44.789,44.66,44.67,44.85,44.74,44.91,44.76
210,44.66,44.67,44.85,44.74,44.91,44.76,44.81
211,44.67,44.85,44.74,44.91,44.76,44.81,44.845
212,44.85,44.74,44.91,44.76,44.81,44.845,44.91
213,44.74,44.91,44.76,44.81,44.845,44.91,44.96
214,44.91,44.76,44.81,44.845,44.91,44.96,44.96
215,44.76,44.81,44.845,44.91,44.96,44.96,44.79
216,44.81,44.845,44.91,44.96,44.96,44.79,44.66
217,44.845,44.91,44.96,44.96,44.79,44.66,44.55
218,44.91,44.96,44.96,44.79,44.66,44.55,44.432
219,44.96,44.96,44.79,44.66,44.55,44.432,44.402
220,44.96,44.79,44.66,44.55,44.432,44.402,44.42
221,44.79,44.66,44.55,44.432,44.402,44.42,44.25
222,44.66,44.55,44.432,44.402,44.42,44.25,44.345
223,44.55,44.432,44.402,44.42,44.25,44.345,44.45
224,44.432,44.402,44.42,44.25,44.345,44.45,44.585
225,44.402,44.42,44.25,44.345,44.45,44.585,44.44
226,44.42,44.25,44.345,44.45,44.585,44.44,44.455
227,44.25,44.345,44.45,44.585,44.44,44.455,44.44
228,44.345,44.45,44.585,44.44,44.455,44.44,44.51
229,44.45,44.585,44.44,44.455,44.44,44.51,44.425
230,44.585,44.44,44.455,44.44,44.51,44.425,44.405
231,44.44,44.455,44.44,44.51,44.425,44.405,44.36
232,44.455,44.44,44.51,44.425,44.405,44.36,44.275
233,44.44,44.51,44.425,44.405,44.36,44.275,44.345
234,44.51,44.425,44.405,44.36,44.275,44.345,44.125
235,44.425,44.405,44.36,44.275,44.345,44.125,44.025
236,44.405,44.36,44.275,44.345,44.125,44.025,44.02
237,44.36,44.275,44.345,44.125,44.025,44.02,44.105
238,44.275,44.345,44.125,44.025,44.02,44.105,44.01
239,44.345,44.125,44.025,44.02,44.105,44.01,44.185
240,44.125,44.025,44.02,44.105,44.01,44.185,44.245
241,44.025,44.02,44.105,44.01,44.185,44.245,44.46
242,44.02,44.105,44.01,44.185,44.245,44.46,44.645
243,44.105,44.01,44.185,44.245,44.46,44.645,44.905
244,44.01,44.185,44.245,44.46,44.645,44.905,45.105
245,44.185,44.245,44.46,44.645,44.905,45.105,45.175
246,44.245,44.46,44.645,44.905,45.105,45.175,45.32
247,44.46,44.645,44.905,45.105,45.175,45.32,45.295
248,44.645,44.905,45.105,45.175,45.32,45.295,45.245
